1	0	1	0	0	line
1	0	1	0	0	circle
2	2	8	0	0	FFT
7	5	12	5	0	FHT
100	0	100	0	0	line
361	0	361	0	0	circle
845	845	1524	0	5	FFT
388	422	462	47	0	FHT
400	0	400	0	0	line
1521	0	1521	0	0	circle
1981	1981	3444	0	6	FFT
929	1021	1128	82	0	FHT
900	0	900	0	0	line
3481	0	3481	0	0	circle
1981	1981	3444	0	6	FFT
929	1021	1128	82	0	FHT
1600	0	1600	0	0	line
6241	0	6241	0	0	circle
4541	4541	7668	0	7	FFT
2158	2372	2658	149	0	FHT
2500	0	2500	0	0	line
9801	0	9801	0	0	circle
4541	4541	7668	0	7	FFT
2158	2372	2658	149	0	FHT
3600	0	3600	0	0	line
14161	0	14161	0	0	circle
4541	4541	7668	0	7	FFT
2158	2372	2658	149	0	FHT
4900	0	4900	0	0	line
19321	0	19321	0	0	circle
10237	10237	16884	0	8	FFT
4907	5371	6108	280	0	FHT
6400	0	6400	0	0	line
25281	0	25281	0	0	circle
10237	10237	16884	0	8	FFT
4907	5371	6108	280	0	FHT
8100	0	8100	0	0	line
32041	0	32041	0	0	circle
10237	10237	16884	0	8	FFT
4907	5371	6108	280	0	FHT
10000	0	10000	0	0	line
39601	0	39601	0	0	circle
10237	10237	16884	0	8	FFT
4907	5371	6108	280	0	FHT
12100	0	12100	0	0	line
47961	0	47961	0	0	circle
10237	10237	16884	0	8	FFT
4907	5371	6108	280	0	FHT
14400	0	14400	0	0	line
57121	0	57121	0	0	circle
10237	10237	16884	0	8	FFT
4907	5371	6108	280	0	FHT
16900	0	16900	0	0	line
67081	0	67081	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
19600	0	19600	0	0	line
77841	0	77841	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
22500	0	22500	0	0	line
89401	0	89401	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
25600	0	25600	0	0	line
101761	0	101761	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
28900	0	28900	0	0	line
114921	0	114921	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
32400	0	32400	0	0	line
128881	0	128881	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
36100	0	36100	0	0	line
143641	0	143641	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
40000	0	40000	0	0	line
159201	0	159201	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
44100	0	44100	0	0	line
175561	0	175561	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
48400	0	48400	0	0	line
192721	0	192721	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
52900	0	52900	0	0	line
210681	0	210681	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
57600	0	57600	0	0	line
229441	0	229441	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
62500	0	62500	0	0	line
249001	0	249001	0	0	circle
22781	22781	36852	0	9	FFT
10984	11954	13782	539	0	FHT
67600	0	67600	0	0	line
269361	0	269361	0	0	circle
50173	50173	79860	0	10	FFT
24293	26281	30672	1054	0	FHT
72900	0	72900	0	0	line
290521	0	290521	0	0	circle
50173	50173	79860	0	10	FFT
24293	26281	30672	1054	0	FHT
78400	0	78400	0	0	line
312481	0	312481	0	0	circle
50173	50173	79860	0	10	FFT
24293	26281	30672	1054	0	FHT
84100	0	84100	0	0	line
335241	0	335241	0	0	circle
50173	50173	79860	0	10	FFT
24293	26281	30672	1054	0	FHT
90000	0	90000	0	0	line
358801	0	358801	0	0	circle
50173	50173	79860	0	10	FFT
24293	26281	30672	1054	0	FHT
